track_id,start_frame,end_frame,final_plate,num_votes
1,159,254,KA02MN1826,238
2,534,644,KA02MM9091,222
2,161,256,KA02MN1826,96
2,161,256,KA02MN1826,96
1,1,70,KA02MM9091,70
1,120,215,KA02MN1826,96
1,106,204,KA02MM9091,99
2,577,659,KA02MN1826,78
5,930,1024,KA02MM9091,95
6,1396,1414,KA02MN1828,19
7,1415,1475,KA02MN1826,56
10,1746,1839,KA02MM9091,94
11,2229,2251,KA02MN1828,23
12,2252,2314,KA02MN1826,58
15,2582,2665,KA02MM9091,84
16,3061,3136,KA02MN1826,72
19,3400,3484,KA02MM9091,85
20,3894,3975,KA02MN1826,78
23,4241,4334,KA02MM9091,94
24,4714,4793,KA02MN1826,75
27,5061,5149,KA02MM9091,89
28,5523,5603,KA02MN1826,76
1,89,149,KA02MN1826,58
4,343,414,KA02MM9091,72
5,773,834,KA02MN1826,58
8,1071,1156,KA02MM9091,86
9,1520,1596,KA02MN1826,73
12,1851,1931,KA02MM9091,81
13,2295,2364,KA02MN1826,70
16,2606,2677,KA02MM9091,72
17,3050,3132,KA02MN1826,78
20,3402,3497,KA02MM9091,96
21,3874,3951,KA02MN1826,78
24,4218,4305,KA02MM9091,88
25,4689,4773,KA02MN1826,80
28,5042,5134,KA02MM9091,93
29,5483,5567,KA02MN1826,79
1,130,200,KA02MN1826,71
4,436,519,KA02MM9091,84
5,859,933,KA02MN1826,70
1,82,149,KA02MN1826,68
1,104,123,KA02MN1828,20
2,124,171,KA02MN1826,48
5,398,482,KA02MM9091,85
6,840,916,KA02MN1826,73
9,1156,1240,KA02MM9091,85
10,1579,1655,KA02MN1826,73
13,1897,1984,KA02MM9091,88
14,2343,2419,KA02MN1826,73
17,2654,2735,KA02MM9091,82
18,3092,3112,KA02MN1828,21
19,3113,3162,KA02MN1826,46
22,3406,3494,KA02MM9091,89
23,3847,3919,KA02MN1826,73
26,4163,4246,KA02MM9091,84
27,4593,4612,KA02MN1828,20
28,4613,4665,KA02MN1826,49
31,4908,4991,KA02MM9091,84
32,5336,5409,KA02MN1826,70
35,5640,5722,KA02MM9091,83
2026-04-01 13:06:03,1,119,176,KA02MN1826,55
2026-04-01 13:06:44,4,359,430,KA02MM9091,72
2026-04-01 13:07:34,5,719,769,KA02MN1826,51
2026-04-01 13:08:38,8,971,1052,KA02MM9091,82
2026-04-01 13:09:16,9,1403,1419,KA02MN1828,17
2026-04-01 13:09:22,10,1420,1459,KA02MN1826,37
2026-04-01 13:10:01,13,1664,1736,KA02MM9091,73
2026-04-02 10:19:01,1,129,143,KA02MN1828,15
2026-04-02 10:19:12,2,144,182,KA02MN1826,35
